,text,toxic,severe_toxic,obscene,threat,insult,identity_hate
0,"Arzel, watch your back on the internet. It doesn't make racist WiKKKipedians like you are I will kill you both!",0.9428110122680664,0.03771084547042847,0.2031254917383194,0.5084750056266785,0.5234600901603699,0.222360298037529
1,"property and everything I have! I wish they were strict facts do you know what stupid Canadians do? Nothing. They speak French, and play in traffic. Are you gay son of a philosophical paradigm which is not perminently banned!",0.9151685833930969,0.010919933207333088,0.08548156172037125,0.006378793623298407,0.4838431775569916,0.26970985531806946
2,8========D- - - -,0.008560111746191978,0.0007630286272615194,0.002564306603744626,0.0013120075454935431,0.0013184418203309178,0.0009646326652728021
3,"YOU ARE THE GAYEST KID IN THE ASS YOU FAT POOP, OR I WILL KICK YOUR ASS!!!",0.9961537718772888,0.3489907383918762,0.9551483988761902,0.12596267461776733,0.9371986389160156,0.08561912178993225
4,"YOU ARE A COMPLETE FUCKFACE BECAUSE YOU LIKE TO PLAY THAT GAY GAME SO MUCH, DO IT AND FUCK OFF!",0.9970375299453735,0.14392167329788208,0.9065685272216797,0.027904797345399857,0.8957371711730957,0.5670354962348938
5,Regarding you being a grumpy old twat and a gay homosexual dictator?,0.958073616027832,0.015886668115854263,0.09130581468343735,0.01641904190182686,0.6747726798057556,0.7508172392845154
6,Fuck off you Paki bastard. Take your pathetic little pro-spam RBL?,0.9975937008857727,0.3388611972332001,0.9805667996406555,0.0029925459530204535,0.890884518623352,0.04256158322095871
7,i wonder as u r gay gay gay gay studius,0.942298948764801,0.00983584113419056,0.022302068769931793,0.011304348707199097,0.5940586924552917,0.9341210722923279
8,ur the biggest fairy tale since Santa Claus;  Mormonism is based on a 14th century DEFEAT. Gather up sava's ashes and weep haha.,0.353080153465271,0.0026925194542855024,0.020184725522994995,0.0025053690187633038,0.04239002615213394,0.010671277530491352
9,"These blood-thirsty liberal lynch mobs wanted to tell people so I will ask my friend BILLCJ's Mom, she's a bitch you are a HUGE central plot point that dominates almost every single episode.",0.9811927080154419,0.16298416256904602,0.8541975617408752,0.025295646861195564,0.8368588089942932,0.04756706580519676
10,Nepenthessss needs to extract his head - Would've been a homosexual,0.9037657380104065,0.01581420563161373,0.08670863509178162,0.03605099394917488,0.3876465857028961,0.3899387717247009
11,You need to get 100 of my post on wikipedia. 70.56.26.46,0.04891090840101242,0.0015208357945084572,0.006679337937384844,0.0026195740792900324,0.004740538541227579,0.001893902663141489
